Nama Pekerjaan,Link SPK,Status,Kategori Project,Progress Upload Teknis,Nilai Kontrak,Task Project,Status Selesai - Automated Test,Tanggal SPK Berakhir,Status Project,Link BAST,Keterangan Tender,Referensi,Url Folder Project,Tanggal Mulai SPK,BAST,Tim Eksternal,PIC,Satuan Kerja,Admin,Deadline Penulisan Ustek,Status Selesai Substansi,PIC Ustek,Pemberi Kerja,Link Referensi,Mekanisme Penunjukan,Status Penulisan Ustek,Tim Internal Project,Sisa Hari Pekerjaan,URL Ustek,Tahapan,Manajemen Penagihan,SPK,Jumlah Hari Berjalan,Peringkat,Urgensi Deadline,Deadline/Pengumuman,Last Update,Tim Penulis Ustek,Lokasi,PIC Project
Evaluasi dan Penyusunan Peta Proses Bisnis Kemendagri,,optTq0MDaF,opt0Ikmm7g,,181929000,,,,,,Dengan alasan Tidak lulus hasil evaluasi unsur pengalaman perusahaan,,,,,,,SEKRETARIAT JENDERAL,,,,,Kementerian Dalam Negeri,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,High Potential,,2026-08-05 00:00:00,1786372660,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Khusus - Penyusunan Feasibility Study (FS) Tempat Pengelolaan Sampah Terpadu,,optTq0MDaF,opt0Ikmm7g,,299581896,,,,,,Tidak memenuhi ambang batas pada sub unsur pengalaman pekerjaan yang serupa (similar) dalam tiga tahun terakhir dan pekerjaan sejenis tertinggi 10 tahun paling kurang sama dengan 50% nilai HPS,,,,,,,DINAS LINGKUNGAN HIDUP,,,,,Kota Surakarta,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Medium Potential,,2026-08-04 00:00:00,1785897299,,optcnBp9rk,
"Konsultan Penyusunan Rencana Strategis (Renstra) Pusat Sistem, Data, dan Informasi Perencanaan Pembangunan (Pusdatinrenbang) 2027-2029",,optNEdbwBI,opt0Ikmm7g,,256299000,,,,,,"Tidak lulus pada tahapan Persyaratan Kualifikasi Teknis, tIdak ada bukti Pekerjaan yang sejenis mencerminkan kesamaan bidang paling kurang 1 (satu) pekerjaan dalam kurun waktu 3 (tiga) tahun terakhir dan tidak ada bukti pekerjaan sejenis dengan nilai Kontrak paling kurang sama dengan 50% HPS",,,,,,,KANTOR MENTERI NEGARA PPN BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,High Potential,,2026-07-27 00:00:00,1785741224,,optcnBp9rk,
PENGADAAN JASA KONSULTANSI PENYUSUNAN ROADMAP OPERASIONALISASI KAMPUNG NELAYAN MERAH PUTIH,,optJGac5R3,opt0Ikmm7g,,99034200,"recvmLN1YqAAoA, recvmRGMbgcGN6, recvmRGPt9ii0S, recvmRHjDYKd11, recvmRIeb8X6l4, recvmRIgiP5kfe, recvoyG1kUp6Tv, recvoyHLskqqdp, recvoyHNcxrzRC, recvoyHPc3yz3Q, recvri0L8Z8Hty, recvri0QV1b0DQ, recvsDpf1QdBAe",,2026-08-10 00:00:00,,,,,,2026-06-12 00:00:00,,"recvnxwGlPHPJS, recvnxwKovbRn1, recvnxwMGwqbVT",,,,,optaBJGH5a,recvajTXiw6gFo,Kementerian Kelautan dan Perikanan,,optvqUXNkj,optJXoIXNF,recvajTXiw3Ps8,,,,recvmWRtscCaXZ,True,,,,,1788849417,recvajTXiwF9KO,optcnBp9rk,recvajTXiw6gFo
Penyusunan AMDAL Fakultas Teknik,,opty2DWWuN,opt0Ikmm7g,,399761090,,,,,,Dibatalkan,,,,,,,UNIVERSITAS JENDERAL SOEDIRMAN,,,,,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-14 00:00:00,1784881328,,optcnBp9rk,
Jasa Pemantauan Sosial Ekonomi Budaya 2026-2028,,optv1IItaE,opt0Ikmm7g,,,,,,,,,,,,,,,,,,,,PT. Bukit Asam Tbk,,optH2rZrfo,optNtkntdg,,,,optl696BMz,,,,,,2026-09-10 00:00:00,1788504423,,optcnBp9rk,
Belanja Jasa Konsultansi Penyusunan Rencana Bisnis dan Investasi Berbasis Potensi Ekonomi Desa,,optTq0MDaF,opt0Ikmm7g,,373221000,,,,,,Tidak Masuk Shortlist,,,,,,,DIREKTORAT JENDERAL PENGEMBANGAN EKONOMI DAN INVESTASI DESA DAN DAERAH TERTINGGAL,,,,,Kementerian Desa dan Pembangunan Daerah Tertinggal,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,High Potential,,2026-08-04 00:00:00,1787031108,,optcnBp9rk,
Jasa Konsultan Riset Kajian Evaluasi Dampak Ekonomi dan Sosial Pembiayaan Mekaar,,opty2DWWuN,opt0Ikmm7g,,5935458600,,,,,,,,,,,,,Divisi Pengadaan dan Pengendalian Infrastruktur,,,,,PT Permodalan Nasional Madani,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,,1784881328,,optcnBp9rk,
Analisa Kelayakan Usaha KNMP,,optJGac5R3,opt0Ikmm7g,,10200000,,,,,,,,,,,,,,,,optaBJGH5a,,Kementerian Kelautan dan Perikanan,,optvqUXNkj,optNtkntdg,,,,,,,,,,,1788850702,,optcnBp9rk,recvajTXiw5De8
Penyusunan Peta Peluang Investasi (PPI) Proyek Strategis Yang Siap Ditawarkan Di Bidang Infrastruktur Tahun Anggaran 2026,,optNEdbwBI,opt0Ikmm7g,,272483000,,,,,,"Dewari, kalah di teknis, menang di harga, urutan ke 2",,,,,,,DEPUTI BIDANG PERENCANAAN PENANAMAN MODAL,,,,,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,High Potential,,2026-09-04 00:00:00,1788514017,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Survei,,optTq0MDaF,opt0Ikmm7g,,199921545,,,,,,Dengan alasan Skor kualifikasi kurang dari nilai ambang batas,,,,,,,DINAS KESEHATAN DAERAH,,,,,Kab. Demak,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,,1786529428,,optcnBp9rk,
"PENYUSUNAN NORMA, STANDAR, PROSEDUR, DAN KRITERIA PELAKSANAAN PEMBIAYAAN INFRASTRUKTUR CIPTA KARYA",,optNEdbwBI,opt0Ikmm7g,,499117050,,,,,,tidak memenuhi batas persyaratan pengalaman minimal,,,,,,,PEMBIAYAAN INFRASTRUKTUR PEKERJAAN UMUM,,,,,Kementerian Pekerjaan Umum,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-30 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Survei Harga Untuk Penyusunan Standar Harga Satuan,,optNEdbwBI,opt0Ikmm7g,,1545286500,,,,,,Dengan alasan Tidak memiliki pengalaman serupa (similar) dengan survei harga dalam kurun waktu 3 tahun terakhir,,,,,,,UNIT PENGELOLA MANAJEMEN STANDAR BELANJA,,,,,DKI Jakarta,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-02-24 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Renstra Deputi Pengembangan Usaha,,optJGac5R3,opt0Ikmm7g,,97735500,"recvmMCK6DKP2T, recvmRG6W8h9G3, recvmRGd8zRB2y, recvpesqlC0hs2, recvri2fa509JY",,2026-06-10 00:00:00,,,,,,2026-05-11 00:00:00,True,recvnxwGlPHPJS,,,,,optaBJGH5a,recvajTXiw6gFo,Kementerian Koperasi,,optvqUXNkj,optJXoIXNF,,,,,recvmWSbY0tjIj,True,,,,,1788850659,,optcnBp9rk,recvajTXiw6gFo
SURVEI NASIONAL,,optJGac5R3,opt9Viclbu,,,"recvu80OFblIT9, recvu80OM3r22Q, recvu80OX7PrSE, recvu80P9ijRCZ, recvu80PhGhzlL, recvu80PAia3Dh, recvu80PHfr6oe, recvu80PQM4lv9, recvu80PZUFoe6, recvu80Q6iX8gS, recvu80QexYj54, recvu80QnepZLA, recvu80QuH5rds, recvu80QF3JMiG, recvu80QPo2zn7, recvu80QZjiRLL, recvu80R8hcv77",,,,,,,,,,,,,,,optbF5FFtB,,GERINDRA,,,optNtkntdg,,,,,recvu80RfiXbN3,,,,,,1788410100,,optcnBp9rk,recvu82362aBlb
Rencana Strategi Bisnis RS Mata Daerah Soepardjo Roestam,,optJGac5R3,opt0Ikmm7g,,73500000,"recvmMxMwsNVqI, recvmMLejc3KLn, recvmMLfhjQ9LS, recvmMLfhjoiWv, recvmMLfhjBmYf, recvmMLqyp9JKp, recvpexvN2E2WK, recvpexBtwUkDX, recvpexJ8YEL84, recvpexL2Lsv3n, recvpeAwHmiI5u, recvpeAyylXl8w, recvpeAAFHoQeC, recvriA0pXpnjy, recvrj8hBdzEcF",,2026-07-10 00:00:00,,,,,,2026-05-25 00:00:00,,"recvmUj8k7kWAX, recvmUjjmoffn6",,,,,optaBJGH5a,recvmSihvvFfgX,RS Mata Daerah Soepardjo Roestam,,optvqUXNkj,optJXoIXNF,recvmSj7JvHzH9,,,,recvmWRtscsByZ,True,,,,,1788849437,recvmSiBB1hbpC,optqAUgg2T,recvmSihvvFfgX
Pengadaan Jasa Konsultan Penyusunan Kajian Indeks Kondusivitas Penggelaran Infrastruktur Pasif Di Daerah (DITAKSEL),,optNEdbwBI,opt0Ikmm7g,,415000000,,,,,,Tidak memiliki pengalaman sejenis penyusunan indeks bidang telekomunikasi dalam kurun waktu 10 (sepuluh) tahun terakhir ,,,,,,,Direktorat Jenderal Infrastruktur Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-18 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Survei (Penyusunan Dokumentasi Monitoring Pembangunan),,optNEdbwBI,opt0Ikmm7g,,281825000,,,,,,Juara 2,,,,,,,SEKRETARIAT DAERAH,,2026-06-21 00:00:00,,recvmSihvvFfgX,Kota Tangerang,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,Juara 2,,2026-06-30 00:00:00,1784881328,,optcnBp9rk,
IPRO Sapi Potong,,optJGac5R3,opt0Ikmm7g,,148740000,,,2026-09-24 00:00:00,,,,,,2026-07-28 00:00:00,,recvrisQao1Xi8,,,,,optaBJGH5a,,DPMPTSP Sumatera Selatan,,optvqUXNkj,optNtkntdg,,,,,,True,,,,,1788241624,,optcnBp9rk,recvajTXiw5De8
JASA KONSULTANSI PENYIAPAN RINTISAN (PILOT) PROGRAM KEBIJAKAN REFORMASI PENGELOLAAN PERSAMPAHAN TERINTEGRASI DARI HULU KE HILIR,,optTq0MDaF,opt0Ikmm7g,,2500000000,,,,,,tidak ada bukti Pekerjaan sejenis dengan nilai Kontrak paling kurang sama dengan 50% HPS dalam 10 tahun terakhir,,,,,,,KANTOR MENTERI NEGARA PPN BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,,,2026-08-17 00:00:00,1788514159,,optcnBp9rk,
JASA KONSULTANSI ANALISIS BEBAN KERJA (ABK),,optv1IItaE,opt0Ikmm7g,,1715949000,,,,,,,,,,,,,Badan Gizi Nasional,,,,,Badan Gizi Nasional,,optH2rZrfo,optNtkntdg,,,,optRJnmn5v,,,,,,2026-09-10 00:00:00,1788921855,,optcnBp9rk,
Jasa Konsultansi Pelaksanaan Uji Efektivitas Instrumen Pengukuran Industri Penyiaran,,optJGac5R3,opt0Ikmm7g,,72039000,,,2026-08-23 00:00:00,,,,,,2026-07-24 00:00:00,,recvafrYUgy1Vx,,,,,optaBJGH5a,,Kementerian Komunikasi dan Digital,,optvqUXNkj,optNtkntdg,recvajTXiwF9KO,,,,,True,,,,,1788850678,,optcnBp9rk,recvmSiRsxf2ki
Jasa Konsultansi Berorientasi Layanan-Jasa (Survei Pelayanan Publik),,optNEdbwBI,opt0Ikmm7g,,205500000,,,,,,"Masa Sanggah : 7 Juli 2026 00:00
, 13 Juli 2026 08:00",,,,,,,Bagian Organisasi,,,,recvajTXiw5De8,Kota Madiun,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-07-03 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik,,optNEdbwBI,opt0Ikmm7g,,996145378,,,,,,Pembuktian di Daerah,,,,,,,Dinas PUPR,,,,,Kab. Badung,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-10 00:00:00,1784881328,,optcnBp9rk,
PENYUSUNAN ARSITEKTUR DAN PETA RENCANA PENGEMBANGAN SISTEM PERIZINAN BERUSAHA BERBASIS RISIKO (ONLINE SINGLE SUBMISSION) TAHUN 2027-2029,,optNEdbwBI,opt0Ikmm7g,,19776870000,,,,,,Dengan alasan Tidak memenuhi ambang batas nilai minimal,,,,,,,DEPUTI BIDANG TEKNOLOGI INFORMASI PENANAMAN MODAL,,,,,BKPM,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-12 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik (Kajian Hidrogeologi),,optNEdbwBI,opt0Ikmm7g,,292186250,,,,,,Skor unsur kualifikasi tenaga ahli dibawah ambang batas,,,,,,,DINAS LINGKUNGAN HIDUP,,,,recvajTXiw6gFo,Kota Tangerang Selatan,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,Juara 3,,2026-06-18 00:00:00,1784881328,,optcnBp9rk,
PENDAMPINGAN PKS RIAU (30-50 JUTA PER BULAN),,optJGac5R3,opt9Viclbu,,,"recvu80RquJHtD, recvu80Rz4vPMA, recvu80RIWytdV, recvu80RPvsckC, recvu80RZKMbf6, recvu80S8LQkL4, recvu80SgtHEQ8, recvu80Spw2vxC, recvu80SyaNpVj, recvu80SEMNYtQ, recvu80SLpKn16, recvu80SRShcO7, recvu80T0a9Fre, recvu80T6VM8kt, recvu80TdnYV3s, recvu80Tl2BWOV, recvu80TrBons3",,,,,,,,,,,,,,,optbF5FFtB,,PKS RIAU,,,optNtkntdg,,,,,recvu80Ty1vE19,True,,,,,1788410103,,optcnBp9rk,recvajTXiwItH0
SURVEY DAPIL BENGKULU,,optJGac5R3,opt9Viclbu,,165000000,"recvmWLXyhsXDL, recvmWQMFSsb0D, recvmWQOwwNhaS, recvmWQOwwBo0X, recvmWQOwwEDBN, recvmWQOwwPF7c, recvmWQOwwYBDc, recvmWQOwwJtub, recvmWQOwwYQre, recvmWQOww8GF7, recvmWQOwwagGb, recvmWQOwwO7sH, recvmWQOwwNcjy, recvmWQOwwIdDV, recvmWQOwwm0WU, recvmWQOwwYVbh, recvmWQOwwnllB",,2026-06-30 00:00:00,,,,,,2026-06-03 00:00:00,,,,,,,optaBJGH5a,,IBU DEWI CORYATI (PAN),,optvqUXNkj,optNtkntdg,,,,,recvmWSk8FfzpO,True,,,,,1784881328,,optcnBp9rk,recvmSiH4RzJGs
Jasa Konsultansi Masterplan Kawasan Kumuh Riungdaperiuk Kota Tangerang,,optNEdbwBI,opt0Ikmm7g,,243432000,,,,,, Nilai total kualifikasi teknis tidak masuk ambang batas,,,,,,,BADAN PERENCANAAN PEMBANGUNAN DAERAH,,,,,Kota Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-25 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Badan Usaha Penyusunan Rencana Aksi Adaptasi Perubahan Iklim Daerah,,optTq0MDaF,opt0Ikmm7g,,450000000,,,,,,Via Website ,,,,,,,Badan Pengelola Dana Lingkungan Hidup,,,,,Badan Pengelola Dana Lingkungan Hidup,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-27 00:00:00,1785467733,,optcnBp9rk,
Jasa Konsultansi Penyusunan Dokumen Penyiapan Proyek PHLN Pantura Jawa,,optNEdbwBI,opt0Ikmm7g,optdKeVYbC,1384279997,,,,,,"Skor TA tidak memenuhi ambang batas unsur, beberapa tidak ada sertifikasi",,,,,,,Sekretariat Badan Otorita Pengelola Pantai Utara Jawa,,,,,Badan Otorita Pengelola Pantai Utara Jawa,,optH2rZrfo,,,,,optUScYWtB,,,,Pengumuman 4 Agustus,,2026-07-25 00:00:00,1786070400,,optcnBp9rk,
Feasibility Study RS Mata Daerah Soepardjo Roestam,,optJGac5R3,opt0Ikmm7g,,60000000,"recvmMxMwt1sAf, recvmMFj6ZyOoW, recvmMFqZc1k7L, recvmMFu9tyj78, recvmMFvBaPfbC, recvmMFxm5cRGD, recvmMIgPRtHTA, recvmMIkIMqje9, recvmMImo5Tjkn, recvmMIrMeOIec, recvmMIthvoPkL, recvmMIuxry8Wa, recvmMLasoC8U3, recvmMLAWmREbD, recvmOe8QoiN3v, recvmOecyfrNyH",,2026-07-10 00:00:00,,,,,,2026-05-25 00:00:00,,recvmUjjmoffn6,,,,,optaBJGH5a,recvajTXiw5De8,RS Mata Daerah Soepardjo Roestam,,optvqUXNkj,optJXoIXNF,recvmSiBB1hbpC,,,,recvmWRtscneyv,True,,,,,1788850647,recvmSj7JvHzH9,optqAUgg2T,recvajTXiw5De8
Penilaian Kapasitas dan Rencana Pengembangan Kapasitas Pemangku Kepentingan Program Peusangan Elephant Conservation Initiative (PECI),,optJGac5R3,opt0Ikmm7g,,195000000,recvsTVatSE48s,,2026-11-07 00:00:00,,,"BC : Rabu , 29 Juli 2026",,,2026-08-24 00:00:00,,recvafrYUg6FLm,,Yayasan WWF Indonesia,,,optbF5FFtB,recvajTXiw6gFo,World Wildlife Fund Indonesia,,optH2rZrfo,optJXoIXNF,recvajTXiwF9KO,,,optUScYWtB,recvsTVaBqFENb,True,,Pengumuman 5 Agustus 2026,,,1788848983,,optcnBp9rk,
