Status,Tanggal Selesai,Kategori Project,Pemberi Kerja,Parent items,PIC,Tanggal Mulai,Realisasi Investasi Lab.Bogor,Deskripsi,Jenis Tahapan,Deadline,Project,Task
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Kerangka Acuan Kerja
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Laporan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-05-26 00:00:00,,,optJ0v2epl,2026-05-29 00:00:00,recvmMyX8cOcXH,Analisis Aspek Risiko
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Laporan Akhir
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Laporan Antara
opt5Dt7rUO,,,,,,2026-08-14 00:00:00,,,,2026-08-14 00:00:00,recvh160ZURCcT,Report Pengumpulan Data Online dan Persiapan Offline
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Usulan Teknis
opt5Dt7rUO,,,,,,2026-08-18 00:00:00,,,,2026-08-25 00:00:00,recvmMxx0YQKke,Penyesuaian laporan
opt5Dt7rUO,,,,,,2026-08-19 00:00:00,,,,2026-08-31 00:00:00,recvh160ZURCcT,Pengumpulan Data Offline
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Laporan Antara
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-06 00:00:00,,,,2026-07-16 00:00:00,recvmLMReAlqLy,Interview Tim DJPT dan Biro Adm-Keuangan
opt5Dt7rUO,,,,,,2026-08-31 00:00:00,,,,2026-08-31 00:00:00,recvh160ZURCcT,Laporan Pendahuluan
opt5Dt7rUO,,,,,,2026-08-15 00:00:00,,,,2026-08-15 00:00:00,recvh160ZURCcT,Pelatihan Surveyor
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Entri Data
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Pelatihan Entri Data
opt5Dt7rUO,,,,,,2026-06-17 00:00:00,,,optZ66DTcP,,recvmMyXnzwCel,Kick Off Meeting
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Tabulasi Data
,,,,,recvmSihvvFfgX,2026-06-22 00:00:00,,,optJ0v2epl,2026-06-22 00:00:00,recvmMyYguBWdS,Review dan finalisasi instrumen 
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,RAB & HPS
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Laporan Akhir
optgdy5sBo,,,,,,2026-07-27 00:00:00,,,,2026-07-27 00:00:00,recvh160ZURCcT,Pembahasan Indikator Kesehatan
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optHAHS7An,,recvmMxGVkXBIV,Pengolahan Data SWOT
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-06-30 00:00:00,,,optGKoXF5a,,recvmMxVIDuE3x,Pelaksanaan Delphi 1
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-07-11 00:00:00,recvmLMReAlqLy,Pengumpulan data sekunder
opt5Dt7rUO,,,,,,2026-09-08 00:00:00,,,,,recvtt5WhRHm8b,
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Pelatihan Enumerator
opt5Dt7rUO,,,,,,2026-09-14 00:00:00,,,optZ66DTcP,,recvtt5WhRHm8b,Kick Off Meeting
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-06-22 00:00:00,recvmLMReAlqLy,Penyusunan dan finalisasi instrumen
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Laporan Akhir
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,RAB & HPS
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optHAHS7An,,recvmMxGVkXBIV,"Perumusan Renstra Bisnis (Visi, Misi, Sasaran, Inisiatif, Program, Target)"
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-07-09 00:00:00,recvmMxx0YQKke,Laporan pendahuluan
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-23 00:00:00,,,optJ0v2epl,2026-07-04 00:00:00,recvmMxx0YQKke,Survei lapangan 1: Lampung Selatan & Timur
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Kuesioner
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Usulan Teknis
optgdy5sBo,,,,,recvajTXiw5De8,2026-05-13 00:00:00,,,optJ0v2epl,2026-05-14 00:00:00,recvmMyX8cOcXH,Penyusunan Daftar Kebutuhan Data Sekunder
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,optZ66DTcP,,,Kick Off
opt5Dt7rUO,,,,,,2026-09-01 00:00:00,,,,2026-09-09 00:00:00,recvh160ZURCcT,Pengolahan Data
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Eksekutiv Summary
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Penyusunan Rencana Pengembangan RS
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-24 00:00:00,,,optZ66DTcP,2026-06-24 00:00:00,recvh160ZURCcT,Kick Off Meeting
,,,,,,2026-06-22 00:00:00,,,,,recvngqj2eqBiO,Kick Off Meeting
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,,,recvmMyXnzwCel,
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-08 00:00:00,,,optJOj6LVY,2026-06-17 00:00:00,recvmMyX8cOcXH,Penyusunan Laporan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-15 00:00:00,,,optJOj6LVY,2026-06-18 00:00:00,recvmMyX8cOcXH,Penyusunan Bahan Paparan Akhir
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-07-11 00:00:00,recvmMxx0YQKke,Analisis data survei lapangan
,,,,,recvmSihvvFfgX,2026-06-27 00:00:00,,,optJ0v2epl,2026-06-28 00:00:00,recvmMyYguBWdS,Cleaning dan validasi data
opt5Dt7rUO,,,,,,2026-08-05 00:00:00,,,,,recvrjYCYYxVXq,Pengumpulan Data
optgdy5sBo,,,,,recvajTXiw5De8,2026-05-16 00:00:00,,,optJ0v2epl,2026-05-30 00:00:00,recvmMyX8cOcXH,Pengumpulan Data Sekunder
,,,,,recvmSihvvFfgX,2026-07-12 00:00:00,,,optJ0v2epl,2026-07-12 00:00:00,recvmMyYguBWdS,Penyelesaian Administrasi
,,,,,recvmSihvvFfgX,2026-07-03 00:00:00,,,optJ0v2epl,2026-07-04 00:00:00,recvmMyYguBWdS,Penyusunan temuan utama dan insight ke bahan paparan
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-07-06 00:00:00,,,optGKoXF5a,,recvmMxVIDuE3x,Pelaksanaan Delphi 2 
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-23 00:00:00,,,,2026-08-03 00:00:00,recvmLMReAlqLy,Laporan Antara
opt5Dt7rUO,,,,,,2026-08-18 00:00:00,,,,2026-08-25 00:00:00,recvmLMReAlqLy,Penyesuaian laporan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Laporan Antara
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,optZ66DTcP,,recvrjYCYYxVXq,Kick Off Meeting
optgdy5sBo,,,,,recvajTXiw6gFo,2026-08-04 00:00:00,,,,2026-08-08 00:00:00,recvmLMReAlqLy,Paparan Akhir
opt5Dt7rUO,,,,,,2026-06-07 00:00:00,,,optJ0v2epl,,recvmWLHixm0Se,Pelatihan Enumerator
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Kuesioner
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Tabulasi Data
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Laporan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-05-26 00:00:00,,,optJ0v2epl,2026-05-29 00:00:00,recvmMyX8cOcXH,Analisis Aspek Sosial Ekonomi 
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Laporan Pendahuluan
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Entri Data
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,,,recvmMxGVkXBIV,
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-06-09 00:00:00,,,optZ66DTcP,,recvmMxVIDuE3x,Kick Off Meeting
opt5Dt7rUO,,,,,,2026-06-21 00:00:00,,,optJ0v2epl,2026-06-23 00:00:00,recvmWLHixm0Se,Keynote
optgdy5sBo,,,,,recvajTXiw6gFo,2026-05-20 00:00:00,,,optJ0v2epl,2026-05-22 00:00:00,recvmMyWQhZp0m,FGD dan pembahasan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Laporan Pendahuluan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Persiapan Project
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,2026-07-13 00:00:00,recvmMxL1HyZRY,Analisis Finansial
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Laporan Akhir
opt5Dt7rUO,,,,,,2026-08-13 00:00:00,,,optZ66DTcP,,recvpZc0Y09Gsx,Kick Off Meeting
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Keynote
opt5Dt7rUO,,,,,,2026-08-11 00:00:00,,,,2026-08-11 00:00:00,recvh160ZURCcT,Koordinasi dengan Asperindo
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-07-11 00:00:00,recvmMxx0YQKke,Pengumpulan data sekunder
,,,,,recvmSihvvFfgX,2026-06-23 00:00:00,,,optJ0v2epl,2026-06-25 00:00:00,recvmMyYguBWdS,Persiapan Pengumpulan Data
optgdy5sBo,,,,,recvajTXiw5De8,2026-05-25 00:00:00,,,optZ66DTcP,,recvmMxL1HyZRY,Kick Off Meeting
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Eksekutiv Summary
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Cleaning Berkas
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Laporan Pendahuluan
optgdy5sBo,,,,,,2026-07-06 00:00:00,,,,2026-07-06 00:00:00,recvh160ZURCcT,Finalisasi Kuesioner & Teknis Pengumpulan Data
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-07-16 00:00:00,,,,,recvmMxVIDuE3x,Finalisasi Instrumen dan Pembobotan
opt5Dt7rUO,,,,,,2026-08-05 00:00:00,,,,,recvrjYCYYxVXq,Paparan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Persiapan Project
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Laporan Pendahuluan
optgdy5sBo,2026-07-22 00:00:00,,,,recvmSiRsxf2ki,2026-07-16 00:00:00,,,,,recvmMxVIDuE3x,Laporan Akhir Pekerjaan Pertama
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Laporan Pendahuluan
opt5Dt7rUO,,,,,,2026-08-21 00:00:00,,,optZ66DTcP,,recvpdNU88XC1o,Kick Off Meeting
optgdy5sBo,,,,,,2026-07-21 00:00:00,,,,2026-07-21 00:00:00,recvh160ZURCcT,Finalisasi Teknis Survei & Launching
optgdy5sBo,,,,,,2026-07-31 00:00:00,,,,2026-07-31 00:00:00,recvh160ZURCcT,Launching Survei
opt5Dt7rUO,,,,,,2026-08-21 00:00:00,,,optZ66DTcP,,recvnmsPvDKk5e,Kick Off Meeting
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optZ66DTcP,,recvmMxGVkXBIV,Kick Off Meeting
,,,,,recvmSihvvFfgX,2026-06-19 00:00:00,,,optJ0v2epl,2026-06-19 00:00:00,recvmMyYguBWdS,Meeting koordinasi lanjutan dengan PIC Program (Online)
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optZ66DTcP,,recvu80R7Qv6e9,Kick Off
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optJ0v2epl,2026-06-17 00:00:00,recvmMyYguBWdS,Request kebutuhan data dan penyusunan bahan koordinasi lanjutan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Cleaning Berkas
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-30 00:00:00,,,,2026-06-30 00:00:00,recvh160ZURCcT,Persiapan Teknis untuk Pengumpulan Data
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Penyerahan Laporan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-03 00:00:00,,,optJ0v2epl,2026-06-03 00:00:00,recvmMyX8cOcXH,Survei Lapangan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Laporan Pendahuluan
optgdy5sBo,,,,,,2026-05-12 00:00:00,,,optZ66DTcP,2026-05-12 00:00:00,recvmMyX8cOcXH,Kick Off Meeting
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Cleaning Berkas
opt5Dt7rUO,,,,,,2026-09-07 00:00:00,,,optZ66DTcP,,recvuwHMOWzmWX,Kick Off Meeting
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optHAHS7An,,recvmMxGVkXBIV,Pelaksanaan Kuesioner Survei
,,,,,recvmSihvvFfgX,2026-07-11 00:00:00,,,optJ0v2epl,2026-07-11 00:00:00,recvmMyYguBWdS,Kirim Laporan dan Bahan paparan final
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Pelatihan Entri Data
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-08 00:00:00,,,optJ0v2epl,2026-06-12 00:00:00,recvmMyX8cOcXH,Analisis Aspek Teknis
,,,,,,,,,optJ0v2epl,2026-08-16 00:00:00,recvmWLHixJuLV,Keynote
,,,,,,,,,optZ66DTcP,,,
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-01 00:00:00,,,optJ0v2epl,2026-06-05 00:00:00,recvmMyX8cOcXH,Analisis Aspek Regulasi
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Entri Data
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,2026-07-12 00:00:00,recvmMxL1HyZRY,Penyusunan Laporan Antara
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Kerangka Acuan Kerja
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-20 00:00:00,,,,2026-07-25 00:00:00,recvmMxx0YQKke,Survei Lapangan 2: DIY & Jawa Tengah
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Usulan Teknis
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Kuesioner
optgdy5sBo,,,,,,2026-06-08 00:00:00,,,optJ0v2epl,2026-06-13 00:00:00,recvmWLHixm0Se,Pengumpulan Data Lapangan
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,2026-07-13 00:00:00,recvmMxL1HyZRY,Penyusunan Bahan Paparan Akhir
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optJOj6LVY,,recvmMxGVkXBIV,Penyerahan Laporan Akhir
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Eksekutiv Summary
opt5Dt7rUO,,,,,,2026-09-08 00:00:00,,,,,recvtt5WhRHm8b,
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optGKoXF5a,,recvmMxGVkXBIV,Penyusunan Daftar Kebutuhan Data Sekunder
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-19 00:00:00,,,optJOj6LVY,2026-06-19 00:00:00,recvmMyX8cOcXH,Paparan Laporan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-03 00:00:00,,,optJ0v2epl,2026-06-03 00:00:00,recvmMyX8cOcXH,Take Video Promosi
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-26 00:00:00,,,optJOj6LVY,2026-06-26 00:00:00,recvmMyX8cOcXH,Penyerahan Laporan Akhir
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,RAB & HPS
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Pelatihan Entri Data
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Penyusunan Daftar Kebutuhan Data Sekunder
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Laporan Antara
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,RAB & HPS
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Penyusunan Instrumen In-depth Interview
opt5Dt7rUO,,,,,,2026-08-05 00:00:00,,,,,recvrjYCYYxVXq,Pengolahan Data
optgdy5sBo,,,,,,2026-06-24 00:00:00,,,optJ0v2epl,2026-06-29 00:00:00,recvmWLyJaMkmD,Pengumpulan Data Lapangan
optgdy5sBo,,,,,,2026-06-14 00:00:00,,,optJ0v2epl,2026-06-18 00:00:00,recvmWLHixm0Se,Cleaning Berkas
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-07-11 00:00:00,recvmLMReAlqLy,Analisis data survei lapangan
optgdy5sBo,,,,,recvajTXiw6gFo,2026-05-22 00:00:00,,,optJ0v2epl,2026-06-10 00:00:00,recvmMyWQhZp0m,Penyerahan draft Renstra
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optJOj6LVY,,recvmMxGVkXBIV,Perbaikan Laporan Akhir
opt5Dt7rUO,,,,,recvajTXiw6gFo,2026-07-27 00:00:00,,,,2026-08-05 00:00:00,recvmMyWQhZp0m,Update probis di Renstra
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-23 00:00:00,,,optJ0v2epl,2026-06-25 00:00:00,recvmLMReAlqLy,Survei lapangan 1: Lampung Selatan & Timur
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-06-25 00:00:00,,,optGKoXF5a,,recvmMxVIDuE3x,Finalisasi Instrumen Delphi 1 (Internal + Komdigi)
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-15 00:00:00,,,optJ0v2epl,2026-06-26 00:00:00,recvmMyX8cOcXH,Pembuatan Video Promosi
optgdy5sBo,,,,,recvmSihvvFfgX,2026-07-13 00:00:00,,,optJOj6LVY,,recvmMxGVkXBIV,Paparan Akhir
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,,,recvh160ZURCcT,
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Tabulasi Data
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Kerangka Acuan Kerja
opt5Dt7rUO,,,,,,2026-08-18 00:00:00,,,,2026-08-31 00:00:00,recvh160ZURCcT,Verifikasi Data (Call back)
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-06-03 00:00:00,,,optGKoXF5a,,recvmMxVIDuE3x,Finalisasi Instrumen Delphi 2 (Internal + Komdigi)
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Entri Data
optgdy5sBo,,,,,,2026-05-21 00:00:00,,,optJ0v2epl,2026-06-26 00:00:00,recvmWLyJaMkmD,Kuesioner
optgdy5sBo,,,,,,2026-06-14 00:00:00,,,optJ0v2epl,,recvmWLHixm0Se,Pelatihan Entri Data
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-07-10 00:00:00,,,,,recvmMxVIDuE3x,Pelaksanaan AHP
,,,,,recvmSihvvFfgX,2026-07-01 00:00:00,,,optJ0v2epl,2026-07-02 00:00:00,recvmMyYguBWdS,Analisis Data
opt5Dt7rUO,,,,,,2026-08-04 00:00:00,,,,,recvmMxGVkXBIV,
,,,,,recvmSihvvFfgX,2026-06-20 00:00:00,,,optJ0v2epl,2026-06-21 00:00:00,recvmMyYguBWdS,Penyusunan draft laporan
optgdy5sBo,,,,,recvajTXiw5De8,2026-07-14 00:00:00,,,optJ0v2epl,2026-07-14 00:00:00,recvmMxL1HyZRY,Paparan Akhir
optgdy5sBo,,,,,recvajTXiw6gFo,2026-08-04 00:00:00,,,,2026-08-10 00:00:00,recvmLMReAlqLy,Laporan Akhir dan Dokumen Panduan
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLHixm0Se,Eksekutiv Summary
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Eksekutiv Summary
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-08 00:00:00,,,optJ0v2epl,2026-06-22 00:00:00,recvmMyX8cOcXH,Penyusunan Infografis
optgdy5sBo,,,,,recvajTXiw6gFo,2026-08-04 00:00:00,,,,2026-08-08 00:00:00,recvmMxx0YQKke,Paparan Akhir
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-19 00:00:00,,,,2026-06-27 00:00:00,recvmMyX8cOcXH,Ekpose Hasil IPRO
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-15 00:00:00,,,optJ0v2epl,2026-06-15 00:00:00,recvmMyYguBWdS,Follow up pemenuhan dokumen administratif 
optgdy5sBo,,,,,recvmSiRsxf2ki,2026-08-10 00:00:00,,,,,recvmMxVIDuE3x,Paparan Laporan Pekerjaan Pertama
,,,,,recvmSihvvFfgX,2026-07-05 00:00:00,,,optJ0v2epl,2026-07-08 00:00:00,recvmMyYguBWdS,Penyusunan Laporan Akhir
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,RAB & HPS
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-17 00:00:00,,,optZ66DTcP,,recvmLMReAlqLy,Kick Off Meeting
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Kerangka Acuan Kerja
optgdy5sBo,,,,,,2026-06-01 00:00:00,,,optJ0v2epl,2026-06-02 00:00:00,recvmWLHixm0Se,Persiapan Project
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Eksekutiv Summary
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Persiapan Project
opt5Dt7rUO,,,,,,2026-08-31 00:00:00,,,,2026-08-17 00:00:00,recvh160ZURCcT,Pengumpulan Data Online
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Kerangka Acuan Kerja
